ID,PO No,Supplier ID,PO Date,ITEM NO,Quantity,INVENTORY ID,PO DateReceived,PO DateRequired,PO DateRevised,QtyReceived,ShipBy,SpecialRequest,POLineClosed,Scanned,Tag,ShipLocalle,UnitCost
171383,35689,Ltcp137,10/31/2025,11,4,400426,11/3/2025,10/31/2025,,4,,,-1,,,Main Plant,0
171384,35689,Ltcp137,10/31/2025,12,1,528634,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
171385,35689,Ltcp137,10/31/2025,13,1,528616,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
171386,35689,Ltcp137,10/31/2025,14,1,528021,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
171387,35689,Ltcp137,10/31/2025,15,1,Gentek 5H3,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
171388,35689,Ltcp137,10/31/2025,16,1,Gentek 5X2,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
171389,35689,Ltcp137,10/31/2025,17,1,KV Solid Cream,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
171390,35689,Ltcp137,10/31/2025,18,1,Gentek 502,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
171391,35689,Ltcp137,10/31/2025,19,2,Gentek 509,11/3/2025,10/31/2025,,2,,,-1,,,Main Plant,0
171392,35689,Ltcp137,10/31/2025,20,1,Gentek 513,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
171393,35689,Ltcp137,10/31/2025,21,2,Gentek 523,11/3/2025,10/31/2025,,2,,,-1,,,Main Plant,0
171373,35689,Ltcp137,10/31/2025,1,1,CS1116,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
171374,35689,Ltcp137,10/31/2025,2,1,CS0444,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
171375,35689,Ltcp137,10/31/2025,3,1,CS1164,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
171376,35689,Ltcp137,10/31/2025,4,20,528802,11/3/2025,10/31/2025,,20,,,-1,,,Main Plant,0
171377,35689,Ltcp137,10/31/2025,5,1,70024,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
171378,35689,Ltcp137,10/31/2025,6,2,Gentek 554,11/3/2025,10/31/2025,,2,,,-1,,,Main Plant,0
